Exness,Symbol,Timestamp,Bid,Ask
exness,EURUSD,2023-05-04 00:00:00.138Z,1.10685,1.10691
exness,EURUSD,2023-05-04 00:00:00.303Z,1.10686,1.10693
exness,EURUSD,2023-05-04 00:00:00.399Z,1.10688,1.10694
exness,EURUSD,2023-05-04 00:00:00.638Z,1.1069,1.10696
exness,EURUSD,2023-05-04 00:00:01.534Z,1.10691,1.10697
exness,EURUSD,2023-05-04 00:00:02.021Z,1.10689,1.10696
exness,EURUSD,2023-05-04 00:00:03.371Z,1.10691,1.10697
exness,EURUSD,2023-05-04 00:00:04.717Z,1.10692,1.10698
exness,EURUSD,2023-05-04 00:00:04.827Z,1.10693,1.107
exness,EURUSD,2023-05-04 00:00:04.987Z,1.10695,1.107
exness,EURUSD,2023-05-04 00:00:05.134Z,1.10696,1.10702
exness,EURUSD,2023-05-04 00:00:11.897Z,1.10694,1.107
exness,EURUSD,2023-05-04 00:00:11.924Z,1.10693,1.10699
exness,EURUSD,2023-05-04 00:00:11.971Z,1.10691,1.10697
exness,EURUSD,2023-05-04 00:00:12.139Z,1.10691,1.10696
exness,EURUSD,2023-05-04 00:00:12.483Z,1.10689,1.10695
exness,EURUSD,2023-05-04 00:00:18.571Z,1.10691,1.10696
exness,EURUSD,2023-05-04 00:00:24.431Z,1.1069,1.10696
exness,EURUSD,2023-05-04 00:00:25.483Z,1.10689,1.10695
exness,EURUSD,2023-05-04 00:00:26.217Z,1.10687,1.10694
exness,EURUSD,2023-05-04 00:00:27.191Z,1.10689,1.10694
exness,EURUSD,2023-05-04 00:00:31.001Z,1.10687,1.10694
exness,EURUSD,2023-05-04 00:00:31.070Z,1.10686,1.10692
exness,EURUSD,2023-05-04 00:00:33.256Z,1.10687,1.10693
exness,EURUSD,2023-05-04 00:00:35.547Z,1.10687,1.10692
exness,EURUSD,2023-05-04 00:00:35.795Z,1.10685,1.10691
exness,EURUSD,2023-05-04 00:00:42.135Z,1.10687,1.10693
exness,EURUSD,2023-05-04 00:00:44.351Z,1.10689,1.10694
exness,EURUSD,2023-05-04 00:00:47.736Z,1.10688,1.10694
exness,EURUSD,2023-05-04 00:00:50.448Z,1.10686,1.10693
exness,EURUSD,2023-05-04 00:00:52.537Z,1.10688,1.10693
exness,EURUSD,2023-05-04 00:00:55.090Z,1.10688,1.10694
exness,EURUSD,2023-05-04 00:00:56.556Z,1.10689,1.10695
exness,EURUSD,2023-05-04 00:00:56.609Z,1.10691,1.10697
exness,EURUSD,2023-05-04 00:00:56.694Z,1.10692,1.10698
exness,EURUSD,2023-05-04 00:00:56.768Z,1.10694,1.107
exness,EURUSD,2023-05-04 00:00:57.331Z,1.10695,1.107
exness,EURUSD,2023-05-04 00:00:59.977Z,1.10694,1.107
exness,EURUSD,2023-05-04 00:01:00.613Z,1.10693,1.10699
exness,EURUSD,2023-05-04 00:01:01.886Z,1.10694,1.10699
exness,EURUSD,2023-05-04 00:01:03.726Z,1.10695,1.107
exness,EURUSD,2023-05-04 00:01:12.413Z,1.10693,1.10699
exness,EURUSD,2023-05-04 00:01:12.465Z,1.10691,1.10698
exness,EURUSD,2023-05-04 00:01:12.921Z,1.10693,1.10698
exness,EURUSD,2023-05-04 00:01:13.052Z,1.10693,1.10699
exness,EURUSD,2023-05-04 00:01:17.821Z,1.10695,1.10701
exness,EURUSD,2023-05-04 00:01:22.866Z,1.10696,1.10702
exness,EURUSD,2023-05-04 00:01:24.675Z,1.10698,1.10703
